Reference,Account Number,Description,Start Balance,Mutation,End Balance
190446,NL43AEGO0773393871,Flowers from Rik Theu�,74.77,-31.35,43.42
112806,NL90ABNA0585647886,Clothes for Willem King,16.39,-5.63,10.76
113867,NL91RABO0315273637,Tickets for Dani�l de Vries,13.61,+18.07,31.68
115217,NL32RABO0195610843,Tickets from Willem de Vries,78.25,+32.12,110.37
112806,NL32RABO0195610843,Flowers for Jan de Vries,85.45,+35.66,121.11
112806,NL91RABO0315273637,Clothes from Peter Dekker,75.55,-46.59,28.96
170492,NL90ABNA0585647886,Candy for Peter de Vries,92.64,-1.35,91.29
160667,NL91RABO0315273637,Candy from Rik Theu�,41.79,+36.81,78.6
167988,NL69ABNA0433647324,Candy for Rik King,95.22,+27.15,122.37
179422,NL46ABNA0625805417,Candy for Rik de Vries,94.18,-33.12,61.06
179423,NL46ABNA0625805417,Candy for Rik de Vries,94.18,-33.12,61.06
